Tract,Average,nVoxels
ACR-L,0.462231,1569
ACR-R,0.484709,1560
ALIC-L,0.550261,719
ALIC-R,0.563359,791
AverageFA,0.416533,117134
BCC,0.627356,3173
CGC,0.583485,594
CGC-L,0.594263,307
CGC-R,0.571955,287
CR,0.485483,7344
CR-L,0.481465,3608
CR-R,0.489362,3736
CST,0.539131,642
CST-L,0.536191,332
CST-R,0.542279,310
EC,0.427342,2896
EC-L,0.422681,1445
EC-R,0.431984,1451
FX,0.450083,222
GCC,0.670114,1834
IC,0.604904,4781
IC-L,0.610546,2328
IC-R,0.599549,2453
IFO,0.494334,88
IFO-L,0.433849,40
IFO-R,0.544738,48
PCR-L,0.480127,677
PCR-R,0.487087,760
PLIC-L,0.675067,883
PLIC-R,0.669128,892
PTR,0.560864,1987
PTR-L,0.567028,978
PTR-R,0.55489,1009
RLIC-L,0.591775,726
RLIC-R,0.556124,770
SCC,0.727939,2311
SCR-L,0.504288,1362
SCR-R,0.49571,1416
SFO,0.48987,193
SFO-L,0.483453,95
SFO-R,0.49609,98
SLF,0.505517,3503
SLF-L,0.504435,1733
SLF-R,0.506577,1770
SS,0.53401,1294
SS-L,0.536026,648
SS-R,0.531987,646
UNC-L,0.615413,51
UNC-R,0.636913,74
