Tract,Average,nVoxels
ACR-L,0.426296,1569
ACR-R,0.430955,1560
ALIC-L,0.548398,719
ALIC-R,0.534249,791
AverageFA,0.374791,117139
BCC,0.54188,3173
CGC,0.464676,594
CGC-L,0.49003,307
CGC-R,0.437556,287
CR,0.435275,7344
CR-L,0.431124,3608
CR-R,0.439284,3736
CST,0.490246,642
CST-L,0.486169,332
CST-R,0.494612,310
EC,0.402283,2896
EC-L,0.405354,1445
EC-R,0.399224,1451
FX,0.26286,222
GCC,0.628216,1834
IC,0.568038,4781
IC-L,0.562128,2328
IC-R,0.573647,2453
IFO,0.450462,88
IFO-L,0.435653,40
IFO-R,0.462803,48
PCR-L,0.405743,677
PCR-R,0.416876,760
PLIC-L,0.641081,883
PLIC-R,0.651296,892
PTR,0.49578,1987
PTR-L,0.483585,978
PTR-R,0.507601,1009
RLIC-L,0.4797,726
RLIC-R,0.524169,770
SCC,0.685339,2311
SCR-L,0.449302,1362
SCR-R,0.460488,1416
SFO,0.441288,193
SFO-L,0.418687,95
SFO-R,0.463198,98
SLF,0.419059,3503
SLF-L,0.435169,1733
SLF-R,0.403285,1770
SS,0.472298,1294
SS-L,0.472705,648
SS-R,0.471889,646
UNC-L,0.499933,51
UNC-R,0.488874,74
