Tract,Average,nVoxels
ACR-L,0.482251,1569
ACR-R,0.488146,1560
ALIC-L,0.583767,719
ALIC-R,0.584902,791
AverageFA,0.418312,117139
BCC,0.64378,3173
CGC,0.546539,594
CGC-L,0.559991,307
CGC-R,0.532149,287
CR,0.487295,7344
CR-L,0.488733,3608
CR-R,0.485906,3736
CST,0.587868,642
CST-L,0.587195,332
CST-R,0.588589,310
EC,0.443263,2896
EC-L,0.447215,1445
EC-R,0.439327,1451
FX,0.43067,222
GCC,0.691077,1834
IC,0.623456,4781
IC-L,0.633446,2328
IC-R,0.613975,2453
IFO,0.483195,88
IFO-L,0.481324,40
IFO-R,0.484754,48
PCR-L,0.480756,677
PCR-R,0.480398,760
PLIC-L,0.720662,883
PLIC-R,0.678241,892
PTR,0.556431,1987
PTR-L,0.568431,978
PTR-R,0.544799,1009
RLIC-L,0.576569,726
RLIC-R,0.569391,770
SCC,0.69859,2311
SCR-L,0.500164,1362
SCR-R,0.486394,1416
SFO,0.471475,193
SFO-L,0.475042,95
SFO-R,0.468017,98
SLF,0.499107,3503
SLF-L,0.493036,1733
SLF-R,0.505052,1770
SS,0.528438,1294
SS-L,0.528346,648
SS-R,0.52853,646
UNC-L,0.602417,51
UNC-R,0.597779,74
