Tract,Average,nVoxels
ACR-L,0.493024,1569
ACR-R,0.494653,1560
ALIC-L,0.533896,719
ALIC-R,0.542598,791
AverageFA,0.422122,117132
BCC,0.639796,3173
CGC,0.531881,594
CGC-L,0.548764,307
CGC-R,0.513822,287
CR,0.494723,7344
CR-L,0.49729,3608
CR-R,0.492243,3736
CST,0.569994,642
CST-L,0.567979,332
CST-R,0.572152,310
EC,0.428753,2896
EC-L,0.435132,1445
EC-R,0.4224,1451
FX,0.416186,222
GCC,0.682099,1834
IC,0.601739,4781
IC-L,0.610436,2328
IC-R,0.593484,2453
IFO,0.424229,88
IFO-L,0.439688,40
IFO-R,0.411346,48
PCR-L,0.511511,677
PCR-R,0.493422,760
PLIC-L,0.691053,883
PLIC-R,0.674377,892
PTR,0.57159,1987
PTR-L,0.57675,978
PTR-R,0.566589,1009
RLIC-L,0.588188,726
RLIC-R,0.552049,770
SCC,0.70045,2311
SCR-L,0.495135,1362
SCR-R,0.488956,1416
SFO,0.467001,193
SFO-L,0.4648,95
SFO-R,0.469134,98
SLF,0.495414,3503
SLF-L,0.498248,1733
SLF-R,0.49264,1770
SS,0.489824,1294
SS-L,0.492328,648
SS-R,0.487313,646
UNC-L,0.504855,51
UNC-R,0.557707,74
