Tract,Average,nVoxels
ACR-L,0.383101,1569
ACR-R,0.414564,1560
ALIC-L,0.52092,719
ALIC-R,0.514062,791
AverageFA,0.359567,117139
BCC,0.552184,3173
CGC,0.469973,594
CGC-L,0.49073,307
CGC-R,0.44777,287
CR,0.418475,7344
CR-L,0.416073,3608
CR-R,0.420795,3736
CST,0.519381,642
CST-L,0.544375,332
CST-R,0.492614,310
EC,0.36423,2896
EC-L,0.37154,1445
EC-R,0.356951,1451
FX,0.356238,222
GCC,0.618922,1834
IC,0.54206,4781
IC-L,0.546477,2328
IC-R,0.537867,2453
IFO,0.427255,88
IFO-L,0.45618,40
IFO-R,0.403151,48
PCR-L,0.426577,677
PCR-R,0.428226,760
PLIC-L,0.612028,883
PLIC-R,0.593186,892
PTR,0.452907,1987
PTR-L,0.459676,978
PTR-R,0.446346,1009
RLIC-L,0.492062,726
RLIC-R,0.498237,770
SCC,0.669308,2311
SCR-L,0.448834,1362
SCR-R,0.423672,1416
SFO,0.40327,193
SFO-L,0.400251,95
SFO-R,0.406196,98
SLF,0.423414,3503
SLF-L,0.427114,1733
SLF-R,0.419792,1770
SS,0.432923,1294
SS-L,0.442164,648
SS-R,0.423654,646
UNC-L,0.477897,51
UNC-R,0.438978,74
