Tract,Average,nVoxels
ACR-L,0.536243,1569
ACR-R,0.553142,1560
ALIC-L,0.591606,719
ALIC-R,0.575562,791
AverageFA,0.432385,117139
BCC,0.659003,3173
CGC,0.550155,594
CGC-L,0.588726,307
CGC-R,0.508897,287
CR,0.523115,7344
CR-L,0.516022,3608
CR-R,0.529965,3736
CST,0.496336,642
CST-L,0.495209,332
CST-R,0.497544,310
EC,0.447496,2896
EC-L,0.44473,1445
EC-R,0.45025,1451
FX,0.440755,222
GCC,0.73175,1834
IC,0.616626,4781
IC-L,0.62866,2328
IC-R,0.605205,2453
IFO,0.485477,88
IFO-L,0.473016,40
IFO-R,0.495861,48
PCR-L,0.493603,677
PCR-R,0.529393,760
PLIC-L,0.659093,883
PLIC-R,0.647826,892
PTR,0.617913,1987
PTR-L,0.623742,978
PTR-R,0.612263,1009
RLIC-L,0.628343,726
RLIC-R,0.586283,770
SCC,0.722354,2311
SCR-L,0.503871,1362
SCR-R,0.504738,1416
SFO,0.506501,193
SFO-L,0.488982,95
SFO-R,0.523483,98
SLF,0.499059,3503
SLF-L,0.487889,1733
SLF-R,0.509996,1770
SS,0.576032,1294
SS-L,0.582342,648
SS-R,0.569703,646
UNC-L,0.499972,51
UNC-R,0.580358,74
