Tract,Average,nVoxels
ACR-L,0.453225,1569
ACR-R,0.474201,1560
ALIC-L,0.544838,719
ALIC-R,0.546411,791
AverageFA,0.399583,117139
BCC,0.626355,3173
CGC,0.511506,594
CGC-L,0.520559,307
CGC-R,0.501822,287
CR,0.475246,7344
CR-L,0.469095,3608
CR-R,0.481186,3736
CST,0.533189,642
CST-L,0.561957,332
CST-R,0.50238,310
EC,0.38809,2896
EC-L,0.383105,1445
EC-R,0.393054,1451
FX,0.395305,222
GCC,0.676883,1834
IC,0.570604,4781
IC-L,0.563275,2328
IC-R,0.577559,2453
IFO,0.426812,88
IFO-L,0.423667,40
IFO-R,0.429432,48
PCR-L,0.466267,677
PCR-R,0.4828,760
PLIC-L,0.611272,883
PLIC-R,0.630562,892
PTR,0.530519,1987
PTR-L,0.52423,978
PTR-R,0.536615,1009
RLIC-L,0.523158,726
RLIC-R,0.548156,770
SCC,0.727166,2311
SCR-L,0.488782,1362
SCR-R,0.488014,1416
SFO,0.491714,193
SFO-L,0.484836,95
SFO-R,0.498382,98
SLF,0.450354,3503
SLF-L,0.442556,1733
SLF-R,0.457989,1770
SS,0.502486,1294
SS-L,0.502919,648
SS-R,0.502051,646
UNC-L,0.494782,51
UNC-R,0.504621,74
