Tract,Average,nVoxels
ACR-L,0.351152,1569
ACR-R,0.353801,1560
ALIC-L,0.492808,719
ALIC-R,0.478537,791
AverageFA,0.337586,117133
BCC,0.479111,3173
CGC,0.421012,594
CGC-L,0.438392,307
CGC-R,0.402421,287
CR,0.422435,7344
CR-L,0.42911,3608
CR-R,0.415989,3736
CST,0.593728,642
CST-L,0.602404,332
CST-R,0.584436,310
EC,0.337923,2896
EC-L,0.342795,1445
EC-R,0.333072,1451
FX,0.18332,222
GCC,0.546229,1834
IC,0.55507,4781
IC-L,0.564263,2328
IC-R,0.546346,2453
IFO,0.450587,88
IFO-L,0.418033,40
IFO-R,0.477716,48
PCR-L,0.432825,677
PCR-R,0.409405,760
PLIC-L,0.669394,883
PLIC-R,0.663624,892
PTR,0.452911,1987
PTR-L,0.455907,978
PTR-R,0.450008,1009
RLIC-L,0.507163,726
RLIC-R,0.480146,770
SCC,0.561427,2311
SCR-L,0.517069,1362
SCR-R,0.488035,1416
SFO,0.431262,193
SFO-L,0.432883,95
SFO-R,0.429691,98
SLF,0.423073,3503
SLF-L,0.429046,1733
SLF-R,0.417224,1770
SS,0.423057,1294
SS-L,0.413322,648
SS-R,0.432822,646
UNC-L,0.352359,51
UNC-R,0.400891,74
