Tract,Average,nVoxels
ACR-L,0.46959,1569
ACR-R,0.448517,1560
ALIC-L,0.547043,719
ALIC-R,0.54277,791
AverageFA,0.399829,117139
BCC,0.633211,3173
CGC,0.528795,594
CGC-L,0.530831,307
CGC-R,0.526618,287
CR,0.480336,7344
CR-L,0.483001,3608
CR-R,0.477762,3736
CST,0.547317,642
CST-L,0.544521,332
CST-R,0.550312,310
EC,0.379771,2896
EC-L,0.374073,1445
EC-R,0.385446,1451
FX,0.391206,222
GCC,0.666759,1834
IC,0.580938,4781
IC-L,0.589827,2328
IC-R,0.572501,2453
IFO,0.410188,88
IFO-L,0.394175,40
IFO-R,0.423532,48
PCR-L,0.474626,677
PCR-R,0.49049,760
PLIC-L,0.693961,883
PLIC-R,0.67221,892
PTR,0.527897,1987
PTR-L,0.533669,978
PTR-R,0.522302,1009
RLIC-L,0.505546,726
RLIC-R,0.487536,770
SCC,0.70782,2311
SCR-L,0.502614,1362
SCR-R,0.50315,1416
SFO,0.473808,193
SFO-L,0.453701,95
SFO-R,0.4933,98
SLF,0.44333,3503
SLF-L,0.441676,1733
SLF-R,0.44495,1770
SS,0.466368,1294
SS-L,0.477232,648
SS-R,0.455471,646
UNC-L,0.523753,51
UNC-R,0.571819,74
