Tract,Average,nVoxels
ACR-L,0.446933,1569
ACR-R,0.410864,1560
ALIC-L,0.531745,719
ALIC-R,0.520716,791
AverageFA,0.395194,117139
BCC,0.613575,3173
CGC,0.506872,594
CGC-L,0.53622,307
CGC-R,0.475479,287
CR,0.45963,7344
CR-L,0.477801,3608
CR-R,0.442081,3736
CST,0.593751,642
CST-L,0.615069,332
CST-R,0.570921,310
EC,0.407604,2896
EC-L,0.422553,1445
EC-R,0.392716,1451
FX,0.378549,222
GCC,0.653465,1834
IC,0.595599,4781
IC-L,0.614479,2328
IC-R,0.577682,2453
IFO,0.492767,88
IFO-L,0.496861,40
IFO-R,0.489356,48
PCR-L,0.463032,677
PCR-R,0.449898,760
PLIC-L,0.71347,883
PLIC-R,0.688689,892
PTR,0.53672,1987
PTR-L,0.550213,978
PTR-R,0.523642,1009
RLIC-L,0.576017,726
RLIC-R,0.507605,770
SCC,0.701122,2311
SCR-L,0.520702,1362
SCR-R,0.472276,1416
SFO,0.472909,193
SFO-L,0.495382,95
SFO-R,0.451124,98
SLF,0.479664,3503
SLF-L,0.493664,1733
SLF-R,0.465956,1770
SS,0.465243,1294
SS-L,0.481927,648
SS-R,0.448507,646
UNC-L,0.481553,51
UNC-R,0.503628,74
