Tract,Average,nVoxels
ACR-L,0.379765,1569
ACR-R,0.402512,1560
ALIC-L,0.488805,719
ALIC-R,0.507986,791
AverageFA,0.362624,117136
BCC,0.531085,3173
CGC,0.440049,594
CGC-L,0.440208,307
CGC-R,0.439878,287
CR,0.415206,7344
CR-L,0.411158,3608
CR-R,0.419115,3736
CST,0.559774,642
CST-L,0.575854,332
CST-R,0.542552,310
EC,0.343948,2896
EC-L,0.333481,1445
EC-R,0.354371,1451
FX,0.29879,222
GCC,0.576327,1834
IC,0.547222,4781
IC-L,0.554017,2328
IC-R,0.540774,2453
IFO,0.406266,88
IFO-L,0.417529,40
IFO-R,0.39688,48
PCR-L,0.400507,677
PCR-R,0.402516,760
PLIC-L,0.655633,883
PLIC-R,0.63933,892
PTR,0.440062,1987
PTR-L,0.438565,978
PTR-R,0.441513,1009
RLIC-L,0.495008,726
RLIC-R,0.460284,770
SCC,0.627197,2311
SCR-L,0.452615,1362
SCR-R,0.446315,1416
SFO,0.427637,193
SFO-L,0.41377,95
SFO-R,0.44108,98
SLF,0.424766,3503
SLF-L,0.438901,1733
SLF-R,0.410926,1770
SS,0.455455,1294
SS-L,0.442096,648
SS-R,0.468856,646
UNC-L,0.344976,51
UNC-R,0.350964,74
