Tract,Average,nVoxels
ACR-L,0.431434,1569
ACR-R,0.44565,1560
ALIC-L,0.522917,719
ALIC-R,0.549416,791
AverageFA,0.385597,117139
BCC,0.575426,3173
CGC,0.511546,594
CGC-L,0.53717,307
CGC-R,0.484137,287
CR,0.443887,7344
CR-L,0.434471,3608
CR-R,0.45298,3736
CST,0.563521,642
CST-L,0.541725,332
CST-R,0.586863,310
EC,0.407034,2896
EC-L,0.392121,1445
EC-R,0.421886,1451
FX,0.337546,222
GCC,0.64719,1834
IC,0.590934,4781
IC-L,0.582472,2328
IC-R,0.598965,2453
IFO,0.528718,88
IFO-L,0.488865,40
IFO-R,0.561929,48
PCR-L,0.429666,677
PCR-R,0.45947,760
PLIC-L,0.647355,883
PLIC-R,0.656195,892
PTR,0.488784,1987
PTR-L,0.47719,978
PTR-R,0.500021,1009
RLIC-L,0.562538,726
RLIC-R,0.583569,770
SCC,0.696288,2311
SCR-L,0.440357,1362
SCR-R,0.457572,1416
SFO,0.422147,193
SFO-L,0.391032,95
SFO-R,0.45231,98
SLF,0.471079,3503
SLF-L,0.463365,1733
SLF-R,0.478632,1770
SS,0.504573,1294
SS-L,0.491283,648
SS-R,0.517905,646
UNC-L,0.434925,51
UNC-R,0.502343,74
