Tract,Average,nVoxels
ACR-L,0.420547,1569
ACR-R,0.440833,1560
ALIC-L,0.494562,719
ALIC-R,0.52694,791
AverageFA,0.384014,117139
BCC,0.609792,3173
CGC,0.472857,594
CGC-L,0.484207,307
CGC-R,0.460717,287
CR,0.450109,7344
CR-L,0.438973,3608
CR-R,0.460865,3736
CST,0.477071,642
CST-L,0.489219,332
CST-R,0.46406,310
EC,0.403325,2896
EC-L,0.398869,1445
EC-R,0.407762,1451
FX,0.387748,222
GCC,0.65331,1834
IC,0.570206,4781
IC-L,0.557253,2328
IC-R,0.582498,2453
IFO,0.503171,88
IFO-L,0.494651,40
IFO-R,0.510271,48
PCR-L,0.447925,677
PCR-R,0.474477,760
PLIC-L,0.622025,883
PLIC-R,0.659147,892
PTR,0.52995,1987
PTR-L,0.520418,978
PTR-R,0.53919,1009
RLIC-L,0.540562,726
RLIC-R,0.550778,770
SCC,0.719611,2311
SCR-L,0.455749,1362
SCR-R,0.475627,1416
SFO,0.476809,193
SFO-L,0.463051,95
SFO-R,0.490146,98
SLF,0.445262,3503
SLF-L,0.435551,1733
SLF-R,0.45477,1770
SS,0.49237,1294
SS-L,0.481496,648
SS-R,0.503278,646
UNC-L,0.574511,51
UNC-R,0.634975,74
