Tract,Average,nVoxels
ACR-L,0.475592,1569
ACR-R,0.509534,1560
ALIC-L,0.528902,719
ALIC-R,0.561786,791
AverageFA,0.390063,117139
BCC,0.584655,3173
CGC,0.50523,594
CGC-L,0.539466,307
CGC-R,0.468609,287
CR,0.46273,7344
CR-L,0.447378,3608
CR-R,0.477556,3736
CST,0.530823,642
CST-L,0.533052,332
CST-R,0.528435,310
EC,0.437584,2896
EC-L,0.434503,1445
EC-R,0.440652,1451
FX,0.405208,222
GCC,0.646742,1834
IC,0.581164,4781
IC-L,0.577336,2328
IC-R,0.584796,2453
IFO,0.4564,88
IFO-L,0.430209,40
IFO-R,0.478226,48
PCR-L,0.4444,677
PCR-R,0.464312,760
PLIC-L,0.612323,883
PLIC-R,0.61524,892
PTR,0.567667,1987
PTR-L,0.566386,978
PTR-R,0.568909,1009
RLIC-L,0.582749,726
RLIC-R,0.573167,770
SCC,0.681946,2311
SCR-L,0.416356,1362
SCR-R,0.449435,1416
SFO,0.482537,193
SFO-L,0.451719,95
SFO-R,0.512411,98
SLF,0.498646,3503
SLF-L,0.494605,1733
SLF-R,0.502602,1770
SS,0.577801,1294
SS-L,0.578174,648
SS-R,0.577427,646
UNC-L,0.426813,51
UNC-R,0.451667,74
