Tract,Average,nVoxels
ACR-L,0.445346,1569
ACR-R,0.426373,1560
ALIC-L,0.507403,719
ALIC-R,0.499586,791
AverageFA,0.381167,117139
BCC,0.532001,3173
CGC,0.461466,594
CGC-L,0.479339,307
CGC-R,0.442348,287
CR,0.460718,7344
CR-L,0.475435,3608
CR-R,0.446504,3736
CST,0.546501,642
CST-L,0.550455,332
CST-R,0.542267,310
EC,0.379412,2896
EC-L,0.378,1445
EC-R,0.380819,1451
FX,0.339709,222
GCC,0.595564,1834
IC,0.575218,4781
IC-L,0.583963,2328
IC-R,0.56692,2453
IFO,0.404556,88
IFO-L,0.423763,40
IFO-R,0.38855,48
PCR-L,0.516402,677
PCR-R,0.451707,760
PLIC-L,0.65541,883
PLIC-R,0.635602,892
PTR,0.571375,1987
PTR-L,0.578517,978
PTR-R,0.564452,1009
RLIC-L,0.572886,726
RLIC-R,0.556525,770
SCC,0.678354,2311
SCR-L,0.489735,1362
SCR-R,0.46589,1416
SFO,0.467017,193
SFO-L,0.474943,95
SFO-R,0.459333,98
SLF,0.452717,3503
SLF-L,0.472527,1733
SLF-R,0.433321,1770
SS,0.508996,1294
SS-L,0.491342,648
SS-R,0.526704,646
UNC-L,0.582444,51
UNC-R,0.455136,74
