Tract,Average,nVoxels
ACR-L,0.404267,1569
ACR-R,0.40519,1560
ALIC-L,0.517939,719
ALIC-R,0.531794,791
AverageFA,0.389161,117139
BCC,0.639939,3173
CGC,0.505682,594
CGC-L,0.500564,307
CGC-R,0.511157,287
CR,0.439203,7344
CR-L,0.437724,3608
CR-R,0.440631,3736
CST,0.490425,642
CST-L,0.480928,332
CST-R,0.500595,310
EC,0.382892,2896
EC-L,0.376741,1445
EC-R,0.389017,1451
FX,0.420185,222
GCC,0.639411,1834
IC,0.576319,4781
IC-L,0.574895,2328
IC-R,0.577672,2453
IFO,0.456537,88
IFO-L,0.445573,40
IFO-R,0.465673,48
PCR-L,0.440462,677
PCR-R,0.438311,760
PLIC-L,0.637867,883
PLIC-R,0.658438,892
PTR,0.561355,1987
PTR-L,0.57314,978
PTR-R,0.549932,1009
RLIC-L,0.554711,726
RLIC-R,0.531237,770
SCC,0.713123,2311
SCR-L,0.474904,1362
SCR-R,0.480922,1416
SFO,0.450872,193
SFO-L,0.418427,95
SFO-R,0.482323,98
SLF,0.450805,3503
SLF-L,0.447313,1733
SLF-R,0.454223,1770
SS,0.518602,1294
SS-L,0.520524,648
SS-R,0.516674,646
UNC-L,0.509813,51
UNC-R,0.520211,74
