Tract,Average,nVoxels
ACR-L,0.441562,1569
ACR-R,0.419043,1560
ALIC-L,0.501493,719
ALIC-R,0.5243,791
AverageFA,0.387599,117139
BCC,0.613269,3173
CGC,0.525048,594
CGC-L,0.550171,307
CGC-R,0.498174,287
CR,0.4423,7344
CR-L,0.448291,3608
CR-R,0.436513,3736
CST,0.555131,642
CST-L,0.571405,332
CST-R,0.537703,310
EC,0.40537,2896
EC-L,0.396696,1445
EC-R,0.414008,1451
FX,0.401487,222
GCC,0.651402,1834
IC,0.579175,4781
IC-L,0.579606,2328
IC-R,0.578766,2453
IFO,0.465056,88
IFO-L,0.444696,40
IFO-R,0.482023,48
PCR-L,0.440717,677
PCR-R,0.44117,760
PLIC-L,0.661862,883
PLIC-R,0.663108,892
PTR,0.521343,1987
PTR-L,0.5392,978
PTR-R,0.504035,1009
RLIC-L,0.556922,726
RLIC-R,0.537012,770
SCC,0.70957,2311
SCR-L,0.459808,1362
SCR-R,0.453261,1416
SFO,0.485356,193
SFO-L,0.471565,95
SFO-R,0.498725,98
SLF,0.461127,3503
SLF-L,0.454955,1733
SLF-R,0.467169,1770
SS,0.486517,1294
SS-L,0.484165,648
SS-R,0.488877,646
UNC-L,0.510548,51
UNC-R,0.518567,74
