Tract,Average,nVoxels
ACR-L,0.439366,1569
ACR-R,0.413942,1560
ALIC-L,0.534213,719
ALIC-R,0.525466,791
AverageFA,0.398089,117136
BCC,0.623374,3173
CGC,0.511502,594
CGC-L,0.530151,307
CGC-R,0.491554,287
CR,0.450988,7344
CR-L,0.463994,3608
CR-R,0.438428,3736
CST,0.582058,642
CST-L,0.611896,332
CST-R,0.550103,310
EC,0.413155,2896
EC-L,0.422934,1445
EC-R,0.403417,1451
FX,0.382001,222
GCC,0.661273,1834
IC,0.577964,4781
IC-L,0.58906,2328
IC-R,0.567434,2453
IFO,0.458342,88
IFO-L,0.460194,40
IFO-R,0.456799,48
PCR-L,0.460945,677
PCR-R,0.45847,760
PLIC-L,0.662102,883
PLIC-R,0.648124,892
PTR,0.512167,1987
PTR-L,0.51847,978
PTR-R,0.506058,1009
RLIC-L,0.554541,726
RLIC-R,0.517073,770
SCC,0.720461,2311
SCR-L,0.493881,1362
SCR-R,0.454648,1416
SFO,0.440421,193
SFO-L,0.470262,95
SFO-R,0.411494,98
SLF,0.44004,3503
SLF-L,0.44399,1733
SLF-R,0.436172,1770
SS,0.496601,1294
SS-L,0.485608,648
SS-R,0.507628,646
UNC-L,0.538748,51
UNC-R,0.527145,74
