Tract,Average,nVoxels
ACR-L,0.464976,1569
ACR-R,0.46041,1560
ALIC-L,0.546266,719
ALIC-R,0.537671,791
AverageFA,0.396108,117139
BCC,0.601166,3173
CGC,0.518135,594
CGC-L,0.528514,307
CGC-R,0.507033,287
CR,0.467099,7344
CR-L,0.471445,3608
CR-R,0.462901,3736
CST,0.535211,642
CST-L,0.543519,332
CST-R,0.526314,310
EC,0.407906,2896
EC-L,0.393503,1445
EC-R,0.42225,1451
FX,0.2744,222
GCC,0.658613,1834
IC,0.599652,4781
IC-L,0.600101,2328
IC-R,0.599227,2453
IFO,0.450887,88
IFO-L,0.438194,40
IFO-R,0.461465,48
PCR-L,0.475043,677
PCR-R,0.458624,760
PLIC-L,0.642822,883
PLIC-R,0.651191,892
PTR,0.559525,1987
PTR-L,0.550871,978
PTR-R,0.567914,1009
RLIC-L,0.601457,726
RLIC-R,0.602264,770
SCC,0.722029,2311
SCR-L,0.477109,1362
SCR-R,0.467941,1416
SFO,0.457404,193
SFO-L,0.454832,95
SFO-R,0.459898,98
SLF,0.467125,3503
SLF-L,0.462091,1733
SLF-R,0.472054,1770
SS,0.501693,1294
SS-L,0.50413,648
SS-R,0.499248,646
UNC-L,0.533731,51
UNC-R,0.518234,74
