Tract,Average,nVoxels
ACR-L,0.435647,1569
ACR-R,0.417366,1560
ALIC-L,0.512244,719
ALIC-R,0.518851,791
AverageFA,0.36927,117103
BCC,0.520763,3173
CGC,0.478062,594
CGC-L,0.487767,307
CGC-R,0.46768,287
CR,0.460387,7344
CR-L,0.478374,3608
CR-R,0.443016,3736
CST,0.5445,642
CST-L,0.560265,332
CST-R,0.527616,310
EC,0.369749,2896
EC-L,0.367236,1445
EC-R,0.372251,1451
FX,0.252283,222
GCC,0.624179,1834
IC,0.576921,4781
IC-L,0.584486,2328
IC-R,0.569741,2453
IFO,0.363127,88
IFO-L,0.370201,40
IFO-R,0.357232,48
PCR-L,0.489358,677
PCR-R,0.404284,760
PLIC-L,0.672297,883
PLIC-R,0.664779,892
PTR,0.50733,1987
PTR-L,0.541157,978
PTR-R,0.474542,1009
RLIC-L,0.549231,726
RLIC-R,0.511923,770
SCC,0.658824,2311
SCR-L,0.522134,1362
SCR-R,0.492062,1416
SFO,0.435801,193
SFO-L,0.418657,95
SFO-R,0.45242,98
SLF,0.460271,3503
SLF-L,0.458976,1733
SLF-R,0.461539,1770
SS,0.448553,1294
SS-L,0.448007,648
SS-R,0.4491,646
UNC-L,0.52505,51
UNC-R,0.380266,74
