Tract,Average,nVoxels
ACR-L,0.449104,1569
ACR-R,0.458103,1560
ALIC-L,0.544,719
ALIC-R,0.55237,791
AverageFA,0.392453,117106
BCC,0.57172,3173
CGC,0.515187,594
CGC-L,0.551555,307
CGC-R,0.476285,287
CR,0.468574,7344
CR-L,0.471052,3608
CR-R,0.466182,3736
CST,0.575258,642
CST-L,0.570331,332
CST-R,0.580534,310
EC,0.3715,2896
EC-L,0.377012,1445
EC-R,0.366011,1451
FX,0.26847,222
GCC,0.67236,1834
IC,0.58219,4781
IC-L,0.594407,2328
IC-R,0.570595,2453
IFO,0.367386,88
IFO-L,0.383437,40
IFO-R,0.354011,48
PCR-L,0.447554,677
PCR-R,0.439844,760
PLIC-L,0.685444,883
PLIC-R,0.627842,892
PTR,0.502525,1987
PTR-L,0.545345,978
PTR-R,0.461021,1009
RLIC-L,0.533604,726
RLIC-R,0.523,770
SCC,0.646206,2311
SCR-L,0.508015,1362
SCR-R,0.489218,1416
SFO,0.478072,193
SFO-L,0.484064,95
SFO-R,0.472263,98
SLF,0.476672,3503
SLF-L,0.472669,1733
SLF-R,0.480591,1770
SS,0.473362,1294
SS-L,0.48127,648
SS-R,0.465429,646
UNC-L,0.493058,51
UNC-R,0.451272,74
