Tract,Average,nVoxels
ACR-L,0.454491,1569
ACR-R,0.46054,1560
ALIC-L,0.536266,719
ALIC-R,0.552162,791
AverageFA,0.390172,117132
BCC,0.587091,3173
CGC,0.50855,594
CGC-L,0.547627,307
CGC-R,0.46675,287
CR,0.469863,7344
CR-L,0.470807,3608
CR-R,0.468951,3736
CST,0.53965,642
CST-L,0.531607,332
CST-R,0.548264,310
EC,0.410684,2896
EC-L,0.397067,1445
EC-R,0.424244,1451
FX,0.414729,222
GCC,0.664261,1834
IC,0.6049,4781
IC-L,0.600454,2328
IC-R,0.609119,2453
IFO,0.464285,88
IFO-L,0.473098,40
IFO-R,0.45694,48
PCR-L,0.452085,677
PCR-R,0.464302,760
PLIC-L,0.677711,883
PLIC-R,0.684687,892
PTR,0.539197,1987
PTR-L,0.535117,978
PTR-R,0.543152,1009
RLIC-L,0.57006,726
RLIC-R,0.580088,770
SCC,0.688617,2311
SCR-L,0.49891,1362
SCR-R,0.480713,1416
SFO,0.515368,193
SFO-L,0.488512,95
SFO-R,0.541401,98
SLF,0.450523,3503
SLF-L,0.433484,1733
SLF-R,0.467205,1770
SS,0.482253,1294
SS-L,0.476435,648
SS-R,0.48809,646
UNC-L,0.375317,51
UNC-R,0.444806,74
