Tract,Average,nVoxels
ACR-L,0.385303,1569
ACR-R,0.387668,1560
ALIC-L,0.520921,719
ALIC-R,0.534953,791
AverageFA,0.374848,117138
BCC,0.593559,3173
CGC,0.455801,594
CGC-L,0.466925,307
CGC-R,0.443902,287
CR,0.429842,7344
CR-L,0.428753,3608
CR-R,0.430894,3736
CST,0.54726,642
CST-L,0.553364,332
CST-R,0.540722,310
EC,0.367112,2896
EC-L,0.359959,1445
EC-R,0.374235,1451
FX,0.380227,222
GCC,0.625798,1834
IC,0.579523,4781
IC-L,0.583252,2328
IC-R,0.575984,2453
IFO,0.41946,88
IFO-L,0.411741,40
IFO-R,0.425893,48
PCR-L,0.431665,677
PCR-R,0.444546,760
PLIC-L,0.677732,883
PLIC-R,0.671641,892
PTR,0.498345,1987
PTR-L,0.500437,978
PTR-R,0.496318,1009
RLIC-L,0.530071,726
RLIC-R,0.507321,770
SCC,0.67468,2311
SCR-L,0.47736,1362
SCR-R,0.471189,1416
SFO,0.447819,193
SFO-L,0.42918,95
SFO-R,0.465887,98
SLF,0.426177,3503
SLF-L,0.419372,1733
SLF-R,0.432839,1770
SS,0.446288,1294
SS-L,0.448316,648
SS-R,0.444254,646
UNC-L,0.477711,51
UNC-R,0.524212,74
