Tract,Average,nVoxels
ACR-L,0.448802,1569
ACR-R,0.447967,1560
ALIC-L,0.485815,719
ALIC-R,0.509417,791
AverageFA,0.381253,117139
BCC,0.617916,3173
CGC,0.461784,594
CGC-L,0.474935,307
CGC-R,0.447717,287
CR,0.441887,7344
CR-L,0.445484,3608
CR-R,0.438413,3736
CST,0.533195,642
CST-L,0.525747,332
CST-R,0.541171,310
EC,0.380576,2896
EC-L,0.369882,1445
EC-R,0.391226,1451
FX,0.36648,222
GCC,0.648987,1834
IC,0.563106,4781
IC-L,0.558297,2328
IC-R,0.56767,2453
IFO,0.463101,88
IFO-L,0.475708,40
IFO-R,0.452595,48
PCR-L,0.425409,677
PCR-R,0.426897,760
PLIC-L,0.639568,883
PLIC-R,0.647519,892
PTR,0.516527,1987
PTR-L,0.525111,978
PTR-R,0.508206,1009
RLIC-L,0.531234,726
RLIC-R,0.53501,770
SCC,0.687947,2311
SCR-L,0.451639,1362
SCR-R,0.434068,1416
SFO,0.390855,193
SFO-L,0.37442,95
SFO-R,0.406787,98
SLF,0.447742,3503
SLF-L,0.449797,1733
SLF-R,0.445729,1770
SS,0.46741,1294
SS-L,0.465092,648
SS-R,0.469736,646
UNC-L,0.539003,51
UNC-R,0.563455,74
