Tract,Average,nVoxels
ACR-L,0.45723,1569
ACR-R,0.455672,1560
ALIC-L,0.536499,719
ALIC-R,0.529299,791
AverageFA,0.389619,117138
BCC,0.56366,3173
CGC,0.564355,594
CGC-L,0.589253,307
CGC-R,0.537723,287
CR,0.463848,7344
CR-L,0.468587,3608
CR-R,0.459271,3736
CST,0.503539,642
CST-L,0.501163,332
CST-R,0.506083,310
EC,0.42882,2896
EC-L,0.432251,1445
EC-R,0.425404,1451
FX,0.322977,222
GCC,0.627273,1834
IC,0.588226,4781
IC-L,0.592525,2328
IC-R,0.584146,2453
IFO,0.491102,88
IFO-L,0.486084,40
IFO-R,0.495284,48
PCR-L,0.461036,677
PCR-R,0.451385,760
PLIC-L,0.658913,883
PLIC-R,0.659365,892
PTR,0.533029,1987
PTR-L,0.525432,978
PTR-R,0.540392,1009
RLIC-L,0.567265,726
RLIC-R,0.553352,770
SCC,0.724511,2311
SCR-L,0.485423,1362
SCR-R,0.467468,1416
SFO,0.458245,193
SFO-L,0.459878,95
SFO-R,0.456662,98
SLF,0.491885,3503
SLF-L,0.488764,1733
SLF-R,0.494941,1770
SS,0.502868,1294
SS-L,0.497283,648
SS-R,0.508471,646
UNC-L,0.509148,51
UNC-R,0.501133,74
