Tract,Average,nVoxels
ACR-L,0.491574,1569
ACR-R,0.511009,1560
ALIC-L,0.60259,719
ALIC-R,0.579044,791
AverageFA,0.407887,117139
BCC,0.600151,3173
CGC,0.512704,594
CGC-L,0.541751,307
CGC-R,0.481633,287
CR,0.483004,7344
CR-L,0.48118,3608
CR-R,0.484765,3736
CST,0.506614,642
CST-L,0.520331,332
CST-R,0.491924,310
EC,0.385706,2896
EC-L,0.378497,1445
EC-R,0.392885,1451
FX,0.408954,222
GCC,0.703406,1834
IC,0.617804,4781
IC-L,0.631282,2328
IC-R,0.605012,2453
IFO,0.424844,88
IFO-L,0.42585,40
IFO-R,0.424005,48
PCR-L,0.419598,677
PCR-R,0.447151,760
PLIC-L,0.704423,883
PLIC-R,0.671556,892
PTR,0.54465,1987
PTR-L,0.529172,978
PTR-R,0.559653,1009
RLIC-L,0.570739,726
RLIC-R,0.554601,770
SCC,0.701375,2311
SCR-L,0.499816,1362
SCR-R,0.47604,1416
SFO,0.522445,193
SFO-L,0.527285,95
SFO-R,0.517754,98
SLF,0.473809,3503
SLF-L,0.463607,1733
SLF-R,0.483798,1770
SS,0.504879,1294
SS-L,0.518805,648
SS-R,0.490909,646
UNC-L,0.508012,51
UNC-R,0.568023,74
