Tract,Average,nVoxels
ACR-L,0.461993,1569
ACR-R,0.415939,1560
ALIC-L,0.520453,719
ALIC-R,0.513436,791
AverageFA,0.393552,117139
BCC,0.622542,3173
CGC,0.534244,594
CGC-L,0.564692,307
CGC-R,0.501675,287
CR,0.466408,7344
CR-L,0.480946,3608
CR-R,0.452369,3736
CST,0.516468,642
CST-L,0.505869,332
CST-R,0.52782,310
EC,0.40086,2896
EC-L,0.415979,1445
EC-R,0.385804,1451
FX,0.399972,222
GCC,0.673271,1834
IC,0.590546,4781
IC-L,0.605843,2328
IC-R,0.576029,2453
IFO,0.435575,88
IFO-L,0.444631,40
IFO-R,0.428029,48
PCR-L,0.446784,677
PCR-R,0.4497,760
PLIC-L,0.686689,883
PLIC-R,0.673574,892
PTR,0.541083,1987
PTR-L,0.56242,978
PTR-R,0.520401,1009
RLIC-L,0.592079,726
RLIC-R,0.527329,770
SCC,0.724583,2311
SCR-L,0.519759,1362
SCR-R,0.493937,1416
SFO,0.471459,193
SFO-L,0.459134,95
SFO-R,0.483406,98
SLF,0.436594,3503
SLF-L,0.441503,1733
SLF-R,0.431787,1770
SS,0.510539,1294
SS-L,0.523635,648
SS-R,0.497403,646
UNC-L,0.483997,51
UNC-R,0.564305,74
