Tract,Average,nVoxels
ACR-L,0.421104,1569
ACR-R,0.43145,1560
ALIC-L,0.496364,719
ALIC-R,0.517332,791
AverageFA,0.386015,117139
BCC,0.610976,3173
CGC,0.496529,594
CGC-L,0.500661,307
CGC-R,0.492108,287
CR,0.437197,7344
CR-L,0.431901,3608
CR-R,0.442312,3736
CST,0.532129,642
CST-L,0.552676,332
CST-R,0.510124,310
EC,0.400913,2896
EC-L,0.400215,1445
EC-R,0.401608,1451
FX,0.41999,222
GCC,0.667459,1834
IC,0.56751,4781
IC-L,0.564686,2328
IC-R,0.570191,2453
IFO,0.455256,88
IFO-L,0.444761,40
IFO-R,0.464001,48
PCR-L,0.427751,677
PCR-R,0.444929,760
PLIC-L,0.641729,883
PLIC-R,0.640719,892
PTR,0.548914,1987
PTR-L,0.548574,978
PTR-R,0.549243,1009
RLIC-L,0.538644,726
RLIC-R,0.542789,770
SCC,0.709591,2311
SCR-L,0.446402,1362
SCR-R,0.452875,1416
SFO,0.470893,193
SFO-L,0.462964,95
SFO-R,0.47858,98
SLF,0.452959,3503
SLF-L,0.447002,1733
SLF-R,0.458791,1770
SS,0.48202,1294
SS-L,0.477525,648
SS-R,0.486529,646
UNC-L,0.557952,51
UNC-R,0.575579,74
