Tract,Average,nVoxels
ACR-L,0.38423,1569
ACR-R,0.38795,1560
ALIC-L,0.500609,719
ALIC-R,0.519203,791
AverageFA,0.329948,117123
BCC,0.441539,3173
CGC,0.411979,594
CGC-L,0.422794,307
CGC-R,0.40041,287
CR,0.465121,7344
CR-L,0.467518,3608
CR-R,0.462807,3736
CST,0.475327,642
CST-L,0.477255,332
CST-R,0.473262,310
EC,0.370699,2896
EC-L,0.356512,1445
EC-R,0.384828,1451
FX,0.175194,222
GCC,0.499547,1834
IC,0.553515,4781
IC-L,0.547382,2328
IC-R,0.559336,2453
IFO,0.433417,88
IFO-L,0.400887,40
IFO-R,0.460525,48
PCR-L,0.48237,677
PCR-R,0.466011,760
PLIC-L,0.616471,883
PLIC-R,0.636761,892
PTR,0.444971,1987
PTR-L,0.450476,978
PTR-R,0.439635,1009
RLIC-L,0.509673,726
RLIC-R,0.510871,770
SCC,0.472287,2311
SCR-L,0.556081,1362
SCR-R,0.543558,1416
SFO,0.570895,193
SFO-L,0.517378,95
SFO-R,0.622774,98
SLF,0.40977,3503
SLF-L,0.410085,1733
SLF-R,0.409461,1770
SS,0.445192,1294
SS-L,0.436737,648
SS-R,0.453673,646
UNC-L,0.429867,51
UNC-R,0.432821,74
