Tract,Average,nVoxels
ACR-L,0.36466,1569
ACR-R,0.368367,1560
ALIC-L,0.523392,719
ALIC-R,0.520887,791
AverageFA,0.358468,117139
BCC,0.473326,3173
CGC,0.439468,594
CGC-L,0.459958,307
CGC-R,0.417551,287
CR,0.437742,7344
CR-L,0.441141,3608
CR-R,0.434459,3736
CST,0.576203,642
CST-L,0.605492,332
CST-R,0.544835,310
EC,0.370822,2896
EC-L,0.363466,1445
EC-R,0.378148,1451
FX,0.232338,222
GCC,0.575764,1834
IC,0.592807,4781
IC-L,0.596183,2328
IC-R,0.589603,2453
IFO,0.44609,88
IFO-L,0.432872,40
IFO-R,0.457105,48
PCR-L,0.438851,677
PCR-R,0.429358,760
PLIC-L,0.69709,883
PLIC-R,0.682403,892
PTR,0.487811,1987
PTR-L,0.506683,978
PTR-R,0.469518,1009
RLIC-L,0.545544,726
RLIC-R,0.552691,770
SCC,0.572902,2311
SCR-L,0.530384,1362
SCR-R,0.510009,1416
SFO,0.505745,193
SFO-L,0.514189,95
SFO-R,0.497559,98
SLF,0.42304,3503
SLF-L,0.42665,1733
SLF-R,0.419505,1770
SS,0.445099,1294
SS-L,0.452987,648
SS-R,0.437186,646
UNC-L,0.504683,51
UNC-R,0.412513,74
