Tract,Average,nVoxels
ACR-L,0.404653,1569
ACR-R,0.394805,1560
ALIC-L,0.493245,719
ALIC-R,0.488189,791
AverageFA,0.342554,117138
BCC,0.407091,3173
CGC,0.388555,594
CGC-L,0.382358,307
CGC-R,0.395183,287
CR,0.407604,7344
CR-L,0.404641,3608
CR-R,0.410465,3736
CST,0.532605,642
CST-L,0.555942,332
CST-R,0.507611,310
EC,0.350455,2896
EC-L,0.349026,1445
EC-R,0.351879,1451
FX,0.31837,222
GCC,0.591128,1834
IC,0.534238,4781
IC-L,0.543999,2328
IC-R,0.524975,2453
IFO,0.378905,88
IFO-L,0.354272,40
IFO-R,0.399433,48
PCR-L,0.393087,677
PCR-R,0.391134,760
PLIC-L,0.617537,883
PLIC-R,0.602596,892
PTR,0.442281,1987
PTR-L,0.445907,978
PTR-R,0.438766,1009
RLIC-L,0.504822,726
RLIC-R,0.472845,770
SCC,0.588698,2311
SCR-L,0.410371,1362
SCR-R,0.438093,1416
SFO,0.44138,193
SFO-L,0.453454,95
SFO-R,0.429675,98
SLF,0.37485,3503
SLF-L,0.389166,1733
SLF-R,0.360833,1770
SS,0.435491,1294
SS-L,0.445131,648
SS-R,0.425821,646
UNC-L,0.406507,51
UNC-R,0.442051,74
