Tract,Average,nVoxels
ACR-L,0.384451,1569
ACR-R,0.380303,1560
ALIC-L,0.462843,719
ALIC-R,0.462146,791
AverageFA,0.359161,117139
BCC,0.548403,3173
CGC,0.492738,594
CGC-L,0.524017,307
CGC-R,0.459279,287
CR,0.424937,7344
CR-L,0.424588,3608
CR-R,0.425273,3736
CST,0.503485,642
CST-L,0.52757,332
CST-R,0.47769,310
EC,0.354104,2896
EC-L,0.353268,1445
EC-R,0.354937,1451
FX,0.341769,222
GCC,0.559905,1834
IC,0.54777,4781
IC-L,0.554999,2328
IC-R,0.540909,2453
IFO,0.445454,88
IFO-L,0.439352,40
IFO-R,0.450539,48
PCR-L,0.458529,677
PCR-R,0.44225,760
PLIC-L,0.658659,883
PLIC-R,0.644128,892
PTR,0.50255,1987
PTR-L,0.494886,978
PTR-R,0.509978,1009
RLIC-L,0.520191,726
RLIC-R,0.502246,770
SCC,0.669665,2311
SCR-L,0.453955,1362
SCR-R,0.465704,1416
SFO,0.432038,193
SFO-L,0.440035,95
SFO-R,0.424285,98
SLF,0.437749,3503
SLF-L,0.426097,1733
SLF-R,0.449158,1770
SS,0.438166,1294
SS-L,0.43911,648
SS-R,0.437219,646
UNC-L,0.463911,51
UNC-R,0.416873,74
