Tract,Average,nVoxels
ACR-L,0.406585,1569
ACR-R,0.406569,1560
ALIC-L,0.543723,719
ALIC-R,0.5269,791
AverageFA,0.384636,117124
BCC,0.584293,3173
CGC,0.509765,594
CGC-L,0.546742,307
CGC-R,0.470211,287
CR,0.445667,7344
CR-L,0.461081,3608
CR-R,0.430781,3736
CST,0.611316,642
CST-L,0.598435,332
CST-R,0.625112,310
EC,0.383877,2896
EC-L,0.387038,1445
EC-R,0.380729,1451
FX,0.290376,222
GCC,0.63549,1834
IC,0.58557,4781
IC-L,0.606908,2328
IC-R,0.565319,2453
IFO,0.469409,88
IFO-L,0.427492,40
IFO-R,0.50434,48
PCR-L,0.478983,677
PCR-R,0.443409,760
PLIC-L,0.687242,883
PLIC-R,0.644062,892
PTR,0.530113,1987
PTR-L,0.549133,978
PTR-R,0.511678,1009
RLIC-L,0.571778,726
RLIC-R,0.513567,770
SCC,0.696724,2311
SCR-L,0.51496,1362
SCR-R,0.450678,1416
SFO,0.472876,193
SFO-L,0.50479,95
SFO-R,0.441939,98
SLF,0.459466,3503
SLF-L,0.492192,1733
SLF-R,0.427425,1770
SS,0.511626,1294
SS-L,0.531823,648
SS-R,0.491366,646
UNC-L,0.470429,51
UNC-R,0.531302,74
