Tract,Average,nVoxels
ACR-L,0.40752,1569
ACR-R,0.442837,1560
ALIC-L,0.507831,719
ALIC-R,0.530589,791
AverageFA,0.377364,117132
BCC,0.588384,3173
CGC,0.469998,594
CGC-L,0.494806,307
CGC-R,0.443461,287
CR,0.426393,7344
CR-L,0.416458,3608
CR-R,0.435988,3736
CST,0.547607,642
CST-L,0.54447,332
CST-R,0.550966,310
EC,0.381188,2896
EC-L,0.377752,1445
EC-R,0.384609,1451
FX,0.273073,222
GCC,0.598554,1834
IC,0.538562,4781
IC-L,0.540721,2328
IC-R,0.536513,2453
IFO,0.365417,88
IFO-L,0.340466,40
IFO-R,0.38621,48
PCR-L,0.397331,677
PCR-R,0.422619,760
PLIC-L,0.599359,883
PLIC-R,0.594772,892
PTR,0.48181,1987
PTR-L,0.467767,978
PTR-R,0.495421,1009
RLIC-L,0.501975,726
RLIC-R,0.47511,770
SCC,0.705248,2311
SCR-L,0.436261,1362
SCR-R,0.435619,1416
SFO,0.424736,193
SFO-L,0.39038,95
SFO-R,0.458041,98
SLF,0.440232,3503
SLF-L,0.438515,1733
SLF-R,0.441913,1770
SS,0.469035,1294
SS-L,0.472836,648
SS-R,0.465222,646
UNC-L,0.477751,51
UNC-R,0.472549,74
