Tract,Average,nVoxels
ACR-L,0.460526,1569
ACR-R,0.454966,1560
ALIC-L,0.549953,719
ALIC-R,0.542637,791
AverageFA,0.408052,117138
BCC,0.618416,3173
CGC,0.533694,594
CGC-L,0.544562,307
CGC-R,0.522068,287
CR,0.47521,7344
CR-L,0.479539,3608
CR-R,0.47103,3736
CST,0.548917,642
CST-L,0.564645,332
CST-R,0.532073,310
EC,0.420892,2896
EC-L,0.420306,1445
EC-R,0.421476,1451
FX,0.353581,222
GCC,0.67524,1834
IC,0.594485,4781
IC-L,0.596134,2328
IC-R,0.59292,2453
IFO,0.501979,88
IFO-L,0.496419,40
IFO-R,0.506613,48
PCR-L,0.490985,677
PCR-R,0.473357,760
PLIC-L,0.67145,883
PLIC-R,0.675925,892
PTR,0.545165,1987
PTR-L,0.545811,978
PTR-R,0.544538,1009
RLIC-L,0.550265,726
RLIC-R,0.548418,770
SCC,0.719639,2311
SCR-L,0.495753,1362
SCR-R,0.487478,1416
SFO,0.467605,193
SFO-L,0.46612,95
SFO-R,0.469045,98
SLF,0.449052,3503
SLF-L,0.459565,1733
SLF-R,0.438759,1770
SS,0.4941,1294
SS-L,0.496357,648
SS-R,0.491837,646
UNC-L,0.501535,51
UNC-R,0.545849,74
