Tract,Average,nVoxels
ACR-L,0.469695,1569
ACR-R,0.454117,1560
ALIC-L,0.536815,719
ALIC-R,0.535037,791
AverageFA,0.394932,117139
BCC,0.647537,3173
CGC,0.508806,594
CGC-L,0.541877,307
CGC-R,0.47343,287
CR,0.463738,7344
CR-L,0.465555,3608
CR-R,0.461982,3736
CST,0.571688,642
CST-L,0.598092,332
CST-R,0.543411,310
EC,0.391371,2896
EC-L,0.389065,1445
EC-R,0.393667,1451
FX,0.397207,222
GCC,0.677686,1834
IC,0.576382,4781
IC-L,0.584743,2328
IC-R,0.568447,2453
IFO,0.466322,88
IFO-L,0.451421,40
IFO-R,0.478739,48
PCR-L,0.431002,677
PCR-R,0.456761,760
PLIC-L,0.661669,883
PLIC-R,0.659163,892
PTR,0.54144,1987
PTR-L,0.553941,978
PTR-R,0.529323,1009
RLIC-L,0.538646,726
RLIC-R,0.497678,770
SCC,0.708031,2311
SCR-L,0.477962,1362
SCR-R,0.47345,1416
SFO,0.455434,193
SFO-L,0.439832,95
SFO-R,0.470559,98
SLF,0.475077,3503
SLF-L,0.472962,1733
SLF-R,0.477147,1770
SS,0.496579,1294
SS-L,0.497577,648
SS-R,0.495577,646
UNC-L,0.497756,51
UNC-R,0.494325,74
