Tract,Average,nVoxels
ACR-L,0.45073,1569
ACR-R,0.472924,1560
ALIC-L,0.520273,719
ALIC-R,0.560095,791
AverageFA,0.39073,117139
BCC,0.642852,3173
CGC,0.522326,594
CGC-L,0.560227,307
CGC-R,0.481783,287
CR,0.462957,7344
CR-L,0.458138,3608
CR-R,0.46761,3736
CST,0.520167,642
CST-L,0.533489,332
CST-R,0.505899,310
EC,0.382205,2896
EC-L,0.378651,1445
EC-R,0.385744,1451
FX,0.409222,222
GCC,0.663518,1834
IC,0.564346,4781
IC-L,0.569863,2328
IC-R,0.55911,2453
IFO,0.402158,88
IFO-L,0.40311,40
IFO-R,0.401365,48
PCR-L,0.432148,677
PCR-R,0.470836,760
PLIC-L,0.638958,883
PLIC-R,0.61646,892
PTR,0.479844,1987
PTR-L,0.47908,978
PTR-R,0.480584,1009
RLIC-L,0.534938,726
RLIC-R,0.491662,770
SCC,0.690351,2311
SCR-L,0.47959,1362
SCR-R,0.460025,1416
SFO,0.427806,193
SFO-L,0.428624,95
SFO-R,0.427014,98
SLF,0.469338,3503
SLF-L,0.466665,1733
SLF-R,0.471956,1770
SS,0.461387,1294
SS-L,0.478912,648
SS-R,0.443808,646
UNC-L,0.432678,51
UNC-R,0.584597,74
