Tract,Average,nVoxels
ACR-L,0.460338,1569
ACR-R,0.456217,1560
ALIC-L,0.543739,719
ALIC-R,0.54963,791
AverageFA,0.403212,117139
BCC,0.568552,3173
CGC,0.512972,594
CGC-L,0.517562,307
CGC-R,0.508063,287
CR,0.464296,7344
CR-L,0.463019,3608
CR-R,0.46553,3736
CST,0.580832,642
CST-L,0.580287,332
CST-R,0.581415,310
EC,0.410914,2896
EC-L,0.403491,1445
EC-R,0.418307,1451
FX,0.397068,222
GCC,0.657079,1834
IC,0.605326,4781
IC-L,0.61191,2328
IC-R,0.599078,2453
IFO,0.484959,88
IFO-L,0.44074,40
IFO-R,0.521809,48
PCR-L,0.44824,677
PCR-R,0.454469,760
PLIC-L,0.704187,883
PLIC-R,0.691844,892
PTR,0.565698,1987
PTR-L,0.576298,978
PTR-R,0.555423,1009
RLIC-L,0.56719,726
RLIC-R,0.542412,770
SCC,0.707797,2311
SCR-L,0.473453,1362
SCR-R,0.481728,1416
SFO,0.459432,193
SFO-L,0.472857,95
SFO-R,0.446418,98
SLF,0.466551,3503
SLF-L,0.46643,1733
SLF-R,0.466669,1770
SS,0.519815,1294
SS-L,0.552192,648
SS-R,0.487338,646
UNC-L,0.468056,51
UNC-R,0.545339,74
