Tract,Average,nVoxels
ACR-L,0.418172,1569
ACR-R,0.409972,1560
ALIC-L,0.494181,719
ALIC-R,0.511939,791
AverageFA,0.377749,117134
BCC,0.589133,3173
CGC,0.445672,594
CGC-L,0.467768,307
CGC-R,0.422037,287
CR,0.447384,7344
CR-L,0.452552,3608
CR-R,0.442393,3736
CST,0.500917,642
CST-L,0.507674,332
CST-R,0.493681,310
EC,0.366598,2896
EC-L,0.362117,1445
EC-R,0.37106,1451
FX,0.378427,222
GCC,0.6203,1834
IC,0.567077,4781
IC-L,0.568564,2328
IC-R,0.565665,2453
IFO,0.434567,88
IFO-L,0.433858,40
IFO-R,0.435157,48
PCR-L,0.449912,677
PCR-R,0.462548,760
PLIC-L,0.659038,883
PLIC-R,0.661305,892
PTR,0.512594,1987
PTR-L,0.510295,978
PTR-R,0.514823,1009
RLIC-L,0.532192,726
RLIC-R,0.510063,770
SCC,0.680249,2311
SCR-L,0.49347,1362
SCR-R,0.467294,1416
SFO,0.426048,193
SFO-L,0.40984,95
SFO-R,0.44176,98
SLF,0.422646,3503
SLF-L,0.4186,1733
SLF-R,0.426608,1770
SS,0.48185,1294
SS-L,0.476197,648
SS-R,0.487521,646
UNC-L,0.553082,51
UNC-R,0.557872,74
