Tract,Average,nVoxels
ACR-L,0.40781,1569
ACR-R,0.407085,1560
ALIC-L,0.528306,719
ALIC-R,0.540486,791
AverageFA,0.360023,117133
BCC,0.496726,3173
CGC,0.439604,594
CGC-L,0.437625,307
CGC-R,0.441721,287
CR,0.412523,7344
CR-L,0.404511,3608
CR-R,0.42026,3736
CST,0.558619,642
CST-L,0.557713,332
CST-R,0.55959,310
EC,0.365244,2896
EC-L,0.354426,1445
EC-R,0.376018,1451
FX,0.286924,222
GCC,0.58909,1834
IC,0.565592,4781
IC-L,0.5629,2328
IC-R,0.568147,2453
IFO,0.383232,88
IFO-L,0.361438,40
IFO-R,0.401393,48
PCR-L,0.3847,677
PCR-R,0.426384,760
PLIC-L,0.636079,883
PLIC-R,0.647156,892
PTR,0.483669,1987
PTR-L,0.494028,978
PTR-R,0.473629,1009
RLIC-L,0.508155,726
RLIC-R,0.505034,770
SCC,0.651369,2311
SCR-L,0.410557,1362
SCR-R,0.431488,1416
SFO,0.426171,193
SFO-L,0.403031,95
SFO-R,0.448602,98
SLF,0.430282,3503
SLF-L,0.433158,1733
SLF-R,0.427466,1770
SS,0.449503,1294
SS-L,0.437176,648
SS-R,0.461868,646
UNC-L,0.389425,51
UNC-R,0.469103,74
