Tract,Average,nVoxels
ACR-L,0.384264,1569
ACR-R,0.401583,1560
ALIC-L,0.524054,719
ALIC-R,0.545633,791
AverageFA,0.380465,117134
BCC,0.563048,3173
CGC,0.496911,594
CGC-L,0.518457,307
CGC-R,0.473863,287
CR,0.429755,7344
CR-L,0.421169,3608
CR-R,0.438047,3736
CST,0.517874,642
CST-L,0.509165,332
CST-R,0.527201,310
EC,0.395995,2896
EC-L,0.385802,1445
EC-R,0.406145,1451
FX,0.35428,222
GCC,0.608263,1834
IC,0.573015,4781
IC-L,0.567782,2328
IC-R,0.577982,2453
IFO,0.467914,88
IFO-L,0.428119,40
IFO-R,0.501076,48
PCR-L,0.450029,677
PCR-R,0.478819,760
PLIC-L,0.631438,883
PLIC-R,0.649088,892
PTR,0.510666,1987
PTR-L,0.489475,978
PTR-R,0.531205,1009
RLIC-L,0.533667,726
RLIC-R,0.528841,770
SCC,0.676741,2311
SCR-L,0.449337,1362
SCR-R,0.456335,1416
SFO,0.465134,193
SFO-L,0.447045,95
SFO-R,0.48267,98
SLF,0.42447,3503
SLF-L,0.417624,1733
SLF-R,0.431172,1770
SS,0.483334,1294
SS-L,0.482884,648
SS-R,0.483786,646
UNC-L,0.440793,51
UNC-R,0.524058,74
