Tract,Average,nVoxels
ACR-L,0.399707,1569
ACR-R,0.370498,1560
ALIC-L,0.527116,719
ALIC-R,0.495695,791
AverageFA,0.399576,117122
BCC,0.587862,3173
CGC,0.530862,594
CGC-L,0.538179,307
CGC-R,0.523035,287
CR,0.42565,7344
CR-L,0.44073,3608
CR-R,0.411086,3736
CST,0.621464,642
CST-L,0.631515,332
CST-R,0.6107,310
EC,0.394036,2896
EC-L,0.411168,1445
EC-R,0.376974,1451
FX,0.370386,222
GCC,0.634321,1834
IC,0.579822,4781
IC-L,0.60316,2328
IC-R,0.557673,2453
IFO,0.423533,88
IFO-L,0.408993,40
IFO-R,0.43565,48
PCR-L,0.463344,677
PCR-R,0.437527,760
PLIC-L,0.681042,883
PLIC-R,0.647269,892
PTR,0.508696,1987
PTR-L,0.542058,978
PTR-R,0.47636,1009
RLIC-L,0.583745,726
RLIC-R,0.517549,770
SCC,0.713796,2311
SCR-L,0.476748,1362
SCR-R,0.441609,1416
SFO,0.449013,193
SFO-L,0.448038,95
SFO-R,0.449958,98
SLF,0.463605,3503
SLF-L,0.47039,1733
SLF-R,0.456962,1770
SS,0.49418,1294
SS-L,0.508433,648
SS-R,0.479882,646
UNC-L,0.563002,51
UNC-R,0.499271,74
