Tract,Average,nVoxels
ACR-L,0.345519,1569
ACR-R,0.317378,1560
ALIC-L,0.461905,719
ALIC-R,0.42678,791
AverageFA,0.328722,117093
BCC,0.461031,3173
CGC,0.43008,594
CGC-L,0.457576,307
CGC-R,0.400667,287
CR,0.407272,7344
CR-L,0.42109,3608
CR-R,0.393928,3736
CST,0.502757,642
CST-L,0.516188,332
CST-R,0.488373,310
EC,0.331226,2896
EC-L,0.335247,1445
EC-R,0.327221,1451
FX,0.240211,222
GCC,0.522418,1834
IC,0.535307,4781
IC-L,0.553492,2328
IC-R,0.518049,2453
IFO,0.418466,88
IFO-L,0.376871,40
IFO-R,0.453129,48
PCR-L,0.464135,677
PCR-R,0.438559,760
PLIC-L,0.692847,883
PLIC-R,0.65416,892
PTR,0.459736,1987
PTR-L,0.468266,978
PTR-R,0.451469,1009
RLIC-L,0.474704,726
RLIC-R,0.454131,770
SCC,0.539757,2311
SCR-L,0.486749,1362
SCR-R,0.454307,1416
SFO,0.44362,193
SFO-L,0.474991,95
SFO-R,0.41321,98
SLF,0.422759,3503
SLF-L,0.424795,1733
SLF-R,0.420765,1770
SS,0.415135,1294
SS-L,0.427089,648
SS-R,0.403145,646
UNC-L,0.417292,51
UNC-R,0.477203,74
