Tract,Average,nVoxels
AverageFA,0.359161,117139
GCC,0.559905,1834
BCC,0.548403,3173
SCC,0.669665,2311
FX,0.341769,222
CST-R,0.47769,310
CST-L,0.52757,332
ML-R,0.533156,190
ML-L,0.547393,172
ICP-R,0.440241,254
ICP-L,0.449921,239
SCP-R,0.524742,238
SCP-L,0.531823,236
CP-R,0.626518,572
CP-L,0.654663,528
ALIC-R,0.462146,791
ALIC-L,0.462843,719
PLIC-R,0.644128,892
PLIC-L,0.658659,883
RLIC-R,0.502246,770
RLIC-L,0.520191,726
ACR-R,0.380303,1560
ACR-L,0.384451,1569
SCR-R,0.465704,1416
SCR-L,0.453955,1362
PCR-R,0.44225,760
PCR-L,0.458529,677
PTR-R,0.509978,1009
PTR-L,0.494886,978
SS-R,0.437219,646
SS-L,0.43911,648
EC-R,0.354937,1451
EC-L,0.353268,1445
CGC-R,0.459279,287
CGC-L,0.524017,307
CGH-R,0.363883,261
CGH-L,0.412179,263
FX/ST-R,0.458384,310
FX/ST-L,0.462492,396
SLF-R,0.449158,1770
SLF-L,0.426097,1733
SFO-R,0.424285,98
SFO-L,0.440035,95
IFO-R,0.450539,48
IFO-L,0.439352,40
UNC-R,0.416873,74
UNC-L,0.463911,51
