Tract,Average,nVoxels
AverageFA,0.370835,117139
GCC,0.579865,1834
BCC,0.582168,3173
SCC,0.687012,2311
FX,0.353746,222
CST-R,0.500595,310
CST-L,0.545673,332
ML-R,0.542112,190
ML-L,0.538659,172
ICP-R,0.42139,254
ICP-L,0.463796,239
SCP-R,0.582155,238
SCP-L,0.573939,236
CP-R,0.613572,572
CP-L,0.627315,528
ALIC-R,0.488349,791
ALIC-L,0.476256,719
PLIC-R,0.626551,892
PLIC-L,0.643198,883
RLIC-R,0.516737,770
RLIC-L,0.527823,726
ACR-R,0.389546,1560
ACR-L,0.395361,1569
SCR-R,0.443869,1416
SCR-L,0.440685,1362
PCR-R,0.450573,760
PCR-L,0.436966,677
PTR-R,0.495143,1009
PTR-L,0.513566,978
SS-R,0.466755,646
SS-L,0.468754,648
EC-R,0.39807,1451
EC-L,0.363941,1445
CGC-R,0.476118,287
CGC-L,0.507441,307
CGH-R,0.379716,261
CGH-L,0.435727,263
FX/ST-R,0.436009,310
FX/ST-L,0.465026,396
SLF-R,0.40225,1770
SLF-L,0.411671,1733
SFO-R,0.452368,98
SFO-L,0.429572,95
IFO-R,0.457676,48
IFO-L,0.404835,40
UNC-R,0.403038,74
UNC-L,0.405425,51
