Tract,Average,nVoxels
AverageFA,0.381167,117139
GCC,0.595564,1834
BCC,0.532001,3173
SCC,0.678354,2311
FX,0.339709,222
CST-R,0.542267,310
CST-L,0.550455,332
ML-R,0.553424,190
ML-L,0.54858,172
ICP-R,0.485994,254
ICP-L,0.485833,239
SCP-R,0.571052,238
SCP-L,0.588448,236
CP-R,0.625039,572
CP-L,0.632483,528
ALIC-R,0.499586,791
ALIC-L,0.507403,719
PLIC-R,0.635602,892
PLIC-L,0.65541,883
RLIC-R,0.556525,770
RLIC-L,0.572886,726
ACR-R,0.426373,1560
ACR-L,0.445346,1569
SCR-R,0.46589,1416
SCR-L,0.489735,1362
PCR-R,0.451707,760
PCR-L,0.516402,677
PTR-R,0.564452,1009
PTR-L,0.578517,978
SS-R,0.526704,646
SS-L,0.491342,648
EC-R,0.380819,1451
EC-L,0.378,1445
CGC-R,0.442348,287
CGC-L,0.479339,307
CGH-R,0.454907,261
CGH-L,0.484988,263
FX/ST-R,0.472775,310
FX/ST-L,0.491556,396
SLF-R,0.433321,1770
SLF-L,0.472527,1733
SFO-R,0.459333,98
SFO-L,0.474943,95
IFO-R,0.38855,48
IFO-L,0.423763,40
UNC-R,0.455136,74
UNC-L,0.582444,51
