Tract,Average,nVoxels
AverageFA,0.422122,117132
GCC,0.682099,1834
BCC,0.639796,3173
SCC,0.70045,2311
FX,0.416186,222
CST-R,0.572152,310
CST-L,0.567979,332
ML-R,0.600583,190
ML-L,0.577176,172
ICP-R,0.490411,254
ICP-L,0.489932,239
SCP-R,0.584091,238
SCP-L,0.598673,236
CP-R,0.678744,572
CP-L,0.69885,528
ALIC-R,0.542598,791
ALIC-L,0.533896,719
PLIC-R,0.674377,892
PLIC-L,0.691053,883
RLIC-R,0.552049,770
RLIC-L,0.588188,726
ACR-R,0.494653,1560
ACR-L,0.493024,1569
SCR-R,0.488956,1416
SCR-L,0.495135,1362
PCR-R,0.493422,760
PCR-L,0.511511,677
PTR-R,0.566589,1009
PTR-L,0.57675,978
SS-R,0.487313,646
SS-L,0.492328,648
EC-R,0.4224,1451
EC-L,0.435132,1445
CGC-R,0.513822,287
CGC-L,0.548764,307
CGH-R,0.5131,261
CGH-L,0.491783,263
FX/ST-R,0.474363,310
FX/ST-L,0.515267,396
SLF-R,0.49264,1770
SLF-L,0.498248,1733
SFO-R,0.469134,98
SFO-L,0.4648,95
IFO-R,0.411346,48
IFO-L,0.439688,40
UNC-R,0.557707,74
UNC-L,0.504855,51
