Tract,Average,nVoxels
AverageFA,0.394932,117139
GCC,0.677686,1834
BCC,0.647537,3173
SCC,0.708031,2311
FX,0.397207,222
CST-R,0.543411,310
CST-L,0.598092,332
ML-R,0.525611,190
ML-L,0.560698,172
ICP-R,0.41891,254
ICP-L,0.437947,239
SCP-R,0.580509,238
SCP-L,0.574793,236
CP-R,0.655606,572
CP-L,0.659121,528
ALIC-R,0.535037,791
ALIC-L,0.536815,719
PLIC-R,0.659163,892
PLIC-L,0.661669,883
RLIC-R,0.497678,770
RLIC-L,0.538646,726
ACR-R,0.454117,1560
ACR-L,0.469695,1569
SCR-R,0.47345,1416
SCR-L,0.477962,1362
PCR-R,0.456761,760
PCR-L,0.431002,677
PTR-R,0.529323,1009
PTR-L,0.553941,978
SS-R,0.495577,646
SS-L,0.497577,648
EC-R,0.393667,1451
EC-L,0.389065,1445
CGC-R,0.47343,287
CGC-L,0.541877,307
CGH-R,0.446654,261
CGH-L,0.434769,263
FX/ST-R,0.475939,310
FX/ST-L,0.547913,396
SLF-R,0.477147,1770
SLF-L,0.472962,1733
SFO-R,0.470559,98
SFO-L,0.439832,95
IFO-R,0.478739,48
IFO-L,0.451421,40
UNC-R,0.494325,74
UNC-L,0.497756,51
