Tract,Average,nVoxels
AverageFA,0.396352,117135
GCC,0.665555,1834
BCC,0.626936,3173
SCC,0.719924,2311
FX,0.377469,222
CST-R,0.579325,310
CST-L,0.599522,332
ML-R,0.580176,190
ML-L,0.579869,172
ICP-R,0.485462,254
ICP-L,0.456574,239
SCP-R,0.554606,238
SCP-L,0.559731,236
CP-R,0.627756,572
CP-L,0.638835,528
ALIC-R,0.542379,791
ALIC-L,0.537499,719
PLIC-R,0.670302,892
PLIC-L,0.675417,883
RLIC-R,0.520499,770
RLIC-L,0.569257,726
ACR-R,0.438176,1560
ACR-L,0.42693,1569
SCR-R,0.453733,1416
SCR-L,0.475653,1362
PCR-R,0.44082,760
PCR-L,0.44609,677
PTR-R,0.525151,1009
PTR-L,0.543315,978
SS-R,0.477074,646
SS-L,0.494114,648
EC-R,0.399149,1451
EC-L,0.388074,1445
CGC-R,0.509556,287
CGC-L,0.52597,307
CGH-R,0.478601,261
CGH-L,0.475222,263
FX/ST-R,0.479715,310
FX/ST-L,0.527809,396
SLF-R,0.434315,1770
SLF-L,0.461516,1733
SFO-R,0.476135,98
SFO-L,0.437547,95
IFO-R,0.505969,48
IFO-L,0.419979,40
UNC-R,0.523804,74
UNC-L,0.469025,51
