Tract,Average,nVoxels
AverageFA,0.388803,117110
GCC,0.656175,1834
BCC,0.561707,3173
SCC,0.682546,2311
FX,0.351427,222
CST-R,0.615446,310
CST-L,0.618359,332
ML-R,0.605134,190
ML-L,0.553054,172
ICP-R,0.519753,254
ICP-L,0.518614,239
SCP-R,0.589747,238
SCP-L,0.582427,236
CP-R,0.64199,572
CP-L,0.656251,528
ALIC-R,0.557295,791
ALIC-L,0.565983,719
PLIC-R,0.61335,892
PLIC-L,0.627005,883
RLIC-R,0.522518,770
RLIC-L,0.58294,726
ACR-R,0.458821,1560
ACR-L,0.454835,1569
SCR-R,0.429111,1416
SCR-L,0.46669,1362
PCR-R,0.45931,760
PCR-L,0.424406,677
PTR-R,0.481133,1009
PTR-L,0.501998,978
SS-R,0.491165,646
SS-L,0.521607,648
EC-R,0.406477,1451
EC-L,0.416632,1445
CGC-R,0.517052,287
CGC-L,0.569508,307
CGH-R,0.457278,261
CGH-L,0.506422,263
FX/ST-R,0.481981,310
FX/ST-L,0.49628,396
SLF-R,0.45011,1770
SLF-L,0.473407,1733
SFO-R,0.494942,98
SFO-L,0.438623,95
IFO-R,0.497743,48
IFO-L,0.414603,40
UNC-R,0.473529,74
UNC-L,0.526806,51
