Tract,Average,nVoxels
AverageFA,0.346436,117139
GCC,0.566638,1834
BCC,0.507585,3173
SCC,0.636608,2311
FX,0.23383,222
CST-R,0.526763,310
CST-L,0.518548,332
ML-R,0.487491,190
ML-L,0.507397,172
ICP-R,0.412343,254
ICP-L,0.404396,239
SCP-R,0.557065,238
SCP-L,0.516784,236
CP-R,0.590036,572
CP-L,0.568236,528
ALIC-R,0.505137,791
ALIC-L,0.479343,719
PLIC-R,0.651172,892
PLIC-L,0.643101,883
RLIC-R,0.491388,770
RLIC-L,0.474502,726
ACR-R,0.381576,1560
ACR-L,0.354001,1569
SCR-R,0.452303,1416
SCR-L,0.448413,1362
PCR-R,0.421571,760
PCR-L,0.440758,677
PTR-R,0.45518,1009
PTR-L,0.446407,978
SS-R,0.434325,646
SS-L,0.448384,648
EC-R,0.361187,1451
EC-L,0.329021,1445
CGC-R,0.42559,287
CGC-L,0.46295,307
CGH-R,0.407464,261
CGH-L,0.329678,263
FX/ST-R,0.44553,310
FX/ST-L,0.468714,396
SLF-R,0.402533,1770
SLF-L,0.421922,1733
SFO-R,0.429583,98
SFO-L,0.417294,95
IFO-R,0.453164,48
IFO-L,0.383849,40
UNC-R,0.447943,74
UNC-L,0.449021,51
