Tract,Average,nVoxels
AverageFA,0.384014,117139
GCC,0.65331,1834
BCC,0.609792,3173
SCC,0.719611,2311
FX,0.387748,222
CST-R,0.46406,310
CST-L,0.489219,332
ML-R,0.553245,190
ML-L,0.582403,172
ICP-R,0.451641,254
ICP-L,0.460479,239
SCP-R,0.566051,238
SCP-L,0.575515,236
CP-R,0.615372,572
CP-L,0.620098,528
ALIC-R,0.52694,791
ALIC-L,0.494562,719
PLIC-R,0.659147,892
PLIC-L,0.622025,883
RLIC-R,0.550778,770
RLIC-L,0.540562,726
ACR-R,0.440833,1560
ACR-L,0.420547,1569
SCR-R,0.475627,1416
SCR-L,0.455749,1362
PCR-R,0.474477,760
PCR-L,0.447925,677
PTR-R,0.53919,1009
PTR-L,0.520418,978
SS-R,0.503278,646
SS-L,0.481496,648
EC-R,0.407762,1451
EC-L,0.398869,1445
CGC-R,0.460717,287
CGC-L,0.484207,307
CGH-R,0.444702,261
CGH-L,0.38819,263
FX/ST-R,0.516331,310
FX/ST-L,0.472753,396
SLF-R,0.45477,1770
SLF-L,0.435551,1733
SFO-R,0.490146,98
SFO-L,0.463051,95
IFO-R,0.510271,48
IFO-L,0.494651,40
UNC-R,0.634975,74
UNC-L,0.574511,51
