Tract,Average,nVoxels
AverageFA,0.377749,117134
GCC,0.6203,1834
BCC,0.589133,3173
SCC,0.680249,2311
FX,0.378427,222
CST-R,0.493681,310
CST-L,0.507674,332
ML-R,0.491755,190
ML-L,0.503956,172
ICP-R,0.442273,254
ICP-L,0.441803,239
SCP-R,0.508481,238
SCP-L,0.542158,236
CP-R,0.626617,572
CP-L,0.631847,528
ALIC-R,0.511939,791
ALIC-L,0.494181,719
PLIC-R,0.661305,892
PLIC-L,0.659038,883
RLIC-R,0.510063,770
RLIC-L,0.532192,726
ACR-R,0.409972,1560
ACR-L,0.418172,1569
SCR-R,0.467294,1416
SCR-L,0.49347,1362
PCR-R,0.462548,760
PCR-L,0.449912,677
PTR-R,0.514823,1009
PTR-L,0.510295,978
SS-R,0.487521,646
SS-L,0.476197,648
EC-R,0.37106,1451
EC-L,0.362117,1445
CGC-R,0.422037,287
CGC-L,0.467768,307
CGH-R,0.415998,261
CGH-L,0.414133,263
FX/ST-R,0.497678,310
FX/ST-L,0.485401,396
SLF-R,0.426608,1770
SLF-L,0.4186,1733
SFO-R,0.44176,98
SFO-L,0.40984,95
IFO-R,0.435157,48
IFO-L,0.433858,40
UNC-R,0.557872,74
UNC-L,0.553082,51
