Tract,Average,nVoxels
AverageFA,0.342747,117139
GCC,0.541796,1834
BCC,0.474696,3173
SCC,0.62535,2311
FX,0.230234,222
CST-R,0.493256,310
CST-L,0.521774,332
ML-R,0.562785,190
ML-L,0.569084,172
ICP-R,0.449548,254
ICP-L,0.442451,239
SCP-R,0.483526,238
SCP-L,0.518376,236
CP-R,0.565367,572
CP-L,0.565269,528
ALIC-R,0.504265,791
ALIC-L,0.489364,719
PLIC-R,0.645557,892
PLIC-L,0.635992,883
RLIC-R,0.511221,770
RLIC-L,0.508562,726
ACR-R,0.337218,1560
ACR-L,0.334545,1569
SCR-R,0.449275,1416
SCR-L,0.489947,1362
PCR-R,0.386782,760
PCR-L,0.418042,677
PTR-R,0.456659,1009
PTR-L,0.472648,978
SS-R,0.425765,646
SS-L,0.435392,648
EC-R,0.34178,1451
EC-L,0.335899,1445
CGC-R,0.376448,287
CGC-L,0.389374,307
CGH-R,0.375125,261
CGH-L,0.398585,263
FX/ST-R,0.399856,310
FX/ST-L,0.414861,396
SLF-R,0.399367,1770
SLF-L,0.405709,1733
SFO-R,0.441481,98
SFO-L,0.445932,95
IFO-R,0.392835,48
IFO-L,0.370111,40
UNC-R,0.418248,74
UNC-L,0.445402,51
