Tract,Average,nVoxels
AverageFA,0.398089,117136
GCC,0.661273,1834
BCC,0.623374,3173
SCC,0.720461,2311
FX,0.382001,222
CST-R,0.550103,310
CST-L,0.611896,332
ML-R,0.545746,190
ML-L,0.565298,172
ICP-R,0.481862,254
ICP-L,0.492762,239
SCP-R,0.556236,238
SCP-L,0.575055,236
CP-R,0.641605,572
CP-L,0.643502,528
ALIC-R,0.525466,791
ALIC-L,0.534213,719
PLIC-R,0.648124,892
PLIC-L,0.662102,883
RLIC-R,0.517073,770
RLIC-L,0.554541,726
ACR-R,0.413942,1560
ACR-L,0.439366,1569
SCR-R,0.454648,1416
SCR-L,0.493881,1362
PCR-R,0.45847,760
PCR-L,0.460945,677
PTR-R,0.506058,1009
PTR-L,0.51847,978
SS-R,0.507628,646
SS-L,0.485608,648
EC-R,0.403417,1451
EC-L,0.422934,1445
CGC-R,0.491554,287
CGC-L,0.530151,307
CGH-R,0.444018,261
CGH-L,0.444354,263
FX/ST-R,0.489613,310
FX/ST-L,0.507384,396
SLF-R,0.436172,1770
SLF-L,0.44399,1733
SFO-R,0.411494,98
SFO-L,0.470262,95
IFO-R,0.456799,48
IFO-L,0.460194,40
UNC-R,0.527145,74
UNC-L,0.538748,51
