Tract,Average,nVoxels
AverageFA,0.37837,117125
GCC,0.640017,1834
BCC,0.538171,3173
SCC,0.646083,2311
FX,0.213708,222
CST-R,0.527965,310
CST-L,0.494102,332
ML-R,0.547923,190
ML-L,0.552269,172
ICP-R,0.473358,254
ICP-L,0.460281,239
SCP-R,0.562404,238
SCP-L,0.588651,236
CP-R,0.674209,572
CP-L,0.615473,528
ALIC-R,0.545216,791
ALIC-L,0.539968,719
PLIC-R,0.615122,892
PLIC-L,0.587049,883
RLIC-R,0.517788,770
RLIC-L,0.510727,726
ACR-R,0.425378,1560
ACR-L,0.421859,1569
SCR-R,0.467761,1416
SCR-L,0.433232,1362
PCR-R,0.499137,760
PCR-L,0.459813,677
PTR-R,0.492475,1009
PTR-L,0.462284,978
SS-R,0.474792,646
SS-L,0.460222,648
EC-R,0.374596,1451
EC-L,0.357427,1445
CGC-R,0.429439,287
CGC-L,0.472939,307
CGH-R,0.510495,261
CGH-L,0.46039,263
FX/ST-R,0.43518,310
FX/ST-L,0.440853,396
SLF-R,0.43525,1770
SLF-L,0.446525,1733
SFO-R,0.440809,98
SFO-L,0.399857,95
IFO-R,0.412504,48
IFO-L,0.362915,40
UNC-R,0.525861,74
UNC-L,0.521048,51
