Tract,Average,nVoxels
AverageFA,0.389161,117139
GCC,0.639411,1834
BCC,0.639939,3173
SCC,0.713123,2311
FX,0.420185,222
CST-R,0.500595,310
CST-L,0.480928,332
ML-R,0.532112,190
ML-L,0.512026,172
ICP-R,0.410242,254
ICP-L,0.451492,239
SCP-R,0.535227,238
SCP-L,0.550114,236
CP-R,0.620831,572
CP-L,0.618881,528
ALIC-R,0.531794,791
ALIC-L,0.517939,719
PLIC-R,0.658438,892
PLIC-L,0.637867,883
RLIC-R,0.531237,770
RLIC-L,0.554711,726
ACR-R,0.40519,1560
ACR-L,0.404267,1569
SCR-R,0.480922,1416
SCR-L,0.474904,1362
PCR-R,0.438311,760
PCR-L,0.440462,677
PTR-R,0.549932,1009
PTR-L,0.57314,978
SS-R,0.516674,646
SS-L,0.520524,648
EC-R,0.389017,1451
EC-L,0.376741,1445
CGC-R,0.511157,287
CGC-L,0.500564,307
CGH-R,0.428369,261
CGH-L,0.425977,263
FX/ST-R,0.460708,310
FX/ST-L,0.497146,396
SLF-R,0.454223,1770
SLF-L,0.447313,1733
SFO-R,0.482323,98
SFO-L,0.418427,95
IFO-R,0.465673,48
IFO-L,0.445573,40
UNC-R,0.520211,74
UNC-L,0.509813,51
