Tract,Average,nVoxels
AverageFA,0.382194,117137
GCC,0.640347,1834
BCC,0.609662,3173
SCC,0.6804,2311
FX,0.363559,222
CST-R,0.508649,310
CST-L,0.525884,332
ML-R,0.548183,190
ML-L,0.53413,172
ICP-R,0.456718,254
ICP-L,0.44994,239
SCP-R,0.569761,238
SCP-L,0.572229,236
CP-R,0.616938,572
CP-L,0.61899,528
ALIC-R,0.511275,791
ALIC-L,0.507151,719
PLIC-R,0.631886,892
PLIC-L,0.632542,883
RLIC-R,0.524715,770
RLIC-L,0.534411,726
ACR-R,0.459867,1560
ACR-L,0.440283,1569
SCR-R,0.482026,1416
SCR-L,0.462101,1362
PCR-R,0.456677,760
PCR-L,0.421128,677
PTR-R,0.524341,1009
PTR-L,0.542917,978
SS-R,0.49585,646
SS-L,0.514612,648
EC-R,0.387702,1451
EC-L,0.382624,1445
CGC-R,0.489661,287
CGC-L,0.522566,307
CGH-R,0.455711,261
CGH-L,0.492777,263
FX/ST-R,0.489505,310
FX/ST-L,0.496852,396
SLF-R,0.458522,1770
SLF-L,0.445999,1733
SFO-R,0.437007,98
SFO-L,0.41781,95
IFO-R,0.450548,48
IFO-L,0.389289,40
UNC-R,0.493319,74
UNC-L,0.517421,51
