Tract,Average,nVoxels
AverageFA,0.394917,117139
GCC,0.679524,1834
BCC,0.639394,3173
SCC,0.701611,2311
FX,0.422916,222
CST-R,0.487306,310
CST-L,0.463851,332
ML-R,0.580997,190
ML-L,0.60209,172
ICP-R,0.494779,254
ICP-L,0.525635,239
SCP-R,0.547895,238
SCP-L,0.559308,236
CP-R,0.646948,572
CP-L,0.65843,528
ALIC-R,0.568013,791
ALIC-L,0.57055,719
PLIC-R,0.631186,892
PLIC-L,0.632084,883
RLIC-R,0.541635,770
RLIC-L,0.570614,726
ACR-R,0.475683,1560
ACR-L,0.480984,1569
SCR-R,0.465717,1416
SCR-L,0.460905,1362
PCR-R,0.438924,760
PCR-L,0.456953,677
PTR-R,0.502068,1009
PTR-L,0.566616,978
SS-R,0.502048,646
SS-L,0.54283,648
EC-R,0.392192,1451
EC-L,0.386478,1445
CGC-R,0.506843,287
CGC-L,0.539446,307
CGH-R,0.40204,261
CGH-L,0.474978,263
FX/ST-R,0.476032,310
FX/ST-L,0.490696,396
SLF-R,0.473022,1770
SLF-L,0.481675,1733
SFO-R,0.451965,98
SFO-L,0.436531,95
IFO-R,0.419278,48
IFO-L,0.433124,40
UNC-R,0.526645,74
UNC-L,0.498429,51
