Tract,Average,nVoxels
AverageFA,0.419077,117138
GCC,0.67984,1834
BCC,0.638772,3173
SCC,0.71481,2311
FX,0.407107,222
CST-R,0.530059,310
CST-L,0.496548,332
ML-R,0.629246,190
ML-L,0.58662,172
ICP-R,0.532895,254
ICP-L,0.528788,239
SCP-R,0.594944,238
SCP-L,0.565315,236
CP-R,0.689867,572
CP-L,0.687997,528
ALIC-R,0.576747,791
ALIC-L,0.567738,719
PLIC-R,0.652216,892
PLIC-L,0.673331,883
RLIC-R,0.565678,770
RLIC-L,0.62319,726
ACR-R,0.492791,1560
ACR-L,0.508844,1569
SCR-R,0.472125,1416
SCR-L,0.490548,1362
PCR-R,0.486345,760
PCR-L,0.492715,677
PTR-R,0.552782,1009
PTR-L,0.566216,978
SS-R,0.535919,646
SS-L,0.570895,648
EC-R,0.460006,1451
EC-L,0.454645,1445
CGC-R,0.499584,287
CGC-L,0.548048,307
CGH-R,0.461568,261
CGH-L,0.433886,263
FX/ST-R,0.565359,310
FX/ST-L,0.562642,396
SLF-R,0.466351,1770
SLF-L,0.49092,1733
SFO-R,0.484244,98
SFO-L,0.489785,95
IFO-R,0.519575,48
IFO-L,0.468852,40
UNC-R,0.515975,74
UNC-L,0.493837,51
