Tract,Average,nVoxels
AverageFA,0.392453,117106
GCC,0.67236,1834
BCC,0.57172,3173
SCC,0.646206,2311
FX,0.26847,222
CST-R,0.580534,310
CST-L,0.570331,332
ML-R,0.638736,190
ML-L,0.59736,172
ICP-R,0.472257,254
ICP-L,0.489533,239
SCP-R,0.580451,238
SCP-L,0.569194,236
CP-R,0.623673,572
CP-L,0.634361,528
ALIC-R,0.55237,791
ALIC-L,0.544,719
PLIC-R,0.627842,892
PLIC-L,0.685444,883
RLIC-R,0.523,770
RLIC-L,0.533604,726
ACR-R,0.458103,1560
ACR-L,0.449104,1569
SCR-R,0.489218,1416
SCR-L,0.508015,1362
PCR-R,0.439844,760
PCR-L,0.447554,677
PTR-R,0.461021,1009
PTR-L,0.545345,978
SS-R,0.465429,646
SS-L,0.48127,648
EC-R,0.366011,1451
EC-L,0.377012,1445
CGC-R,0.476285,287
CGC-L,0.551555,307
CGH-R,0.406079,261
CGH-L,0.456787,263
FX/ST-R,0.464429,310
FX/ST-L,0.4908,396
SLF-R,0.480591,1770
SLF-L,0.472669,1733
SFO-R,0.472263,98
SFO-L,0.484064,95
IFO-R,0.354011,48
IFO-L,0.383437,40
UNC-R,0.451272,74
UNC-L,0.493058,51
