Tract,Average,nVoxels
AverageFA,0.416533,117134
GCC,0.670114,1834
BCC,0.627356,3173
SCC,0.727939,2311
FX,0.450083,222
CST-R,0.542279,310
CST-L,0.536191,332
ML-R,0.532748,190
ML-L,0.520914,172
ICP-R,0.497445,254
ICP-L,0.49652,239
SCP-R,0.57757,238
SCP-L,0.599349,236
CP-R,0.637493,572
CP-L,0.664452,528
ALIC-R,0.563359,791
ALIC-L,0.550261,719
PLIC-R,0.669128,892
PLIC-L,0.675067,883
RLIC-R,0.556124,770
RLIC-L,0.591775,726
ACR-R,0.484709,1560
ACR-L,0.462231,1569
SCR-R,0.49571,1416
SCR-L,0.504288,1362
PCR-R,0.487087,760
PCR-L,0.480127,677
PTR-R,0.55489,1009
PTR-L,0.567028,978
SS-R,0.531987,646
SS-L,0.536026,648
EC-R,0.431984,1451
EC-L,0.422681,1445
CGC-R,0.571955,287
CGC-L,0.594263,307
CGH-R,0.504498,261
CGH-L,0.471662,263
FX/ST-R,0.485236,310
FX/ST-L,0.507946,396
SLF-R,0.506577,1770
SLF-L,0.504435,1733
SFO-R,0.49609,98
SFO-L,0.483453,95
IFO-R,0.544738,48
IFO-L,0.433849,40
UNC-R,0.636913,74
UNC-L,0.615413,51
