Tract,Average,nVoxels
AverageFA,0.377407,117123
GCC,0.596554,1834
BCC,0.611192,3173
SCC,0.674126,2311
FX,0.355921,222
CST-R,0.581273,310
CST-L,0.56765,332
ML-R,0.557185,190
ML-L,0.570266,172
ICP-R,0.490733,254
ICP-L,0.520094,239
SCP-R,0.545964,238
SCP-L,0.545291,236
CP-R,0.650229,572
CP-L,0.644022,528
ALIC-R,0.532684,791
ALIC-L,0.538937,719
PLIC-R,0.604273,892
PLIC-L,0.587969,883
RLIC-R,0.520313,770
RLIC-L,0.521002,726
ACR-R,0.424863,1560
ACR-L,0.462209,1569
SCR-R,0.393607,1416
SCR-L,0.404243,1362
PCR-R,0.402675,760
PCR-L,0.387139,677
PTR-R,0.461077,1009
PTR-L,0.480085,978
SS-R,0.448105,646
SS-L,0.478889,648
EC-R,0.407101,1451
EC-L,0.426117,1445
CGC-R,0.499029,287
CGC-L,0.489555,307
CGH-R,0.408661,261
CGH-L,0.44638,263
FX/ST-R,0.478565,310
FX/ST-L,0.511777,396
SLF-R,0.403506,1770
SLF-L,0.423405,1733
SFO-R,0.46884,98
SFO-L,0.471175,95
IFO-R,0.453664,48
IFO-L,0.50636,40
UNC-R,0.497828,74
UNC-L,0.465065,51
