Tract,Average,nVoxels
AverageFA,0.374967,117136
GCC,0.63893,1834
BCC,0.55853,3173
SCC,0.648168,2311
FX,0.310179,222
CST-R,0.539997,310
CST-L,0.579741,332
ML-R,0.602671,190
ML-L,0.589531,172
ICP-R,0.487304,254
ICP-L,0.491137,239
SCP-R,0.563612,238
SCP-L,0.538509,236
CP-R,0.620025,572
CP-L,0.636232,528
ALIC-R,0.533088,791
ALIC-L,0.505967,719
PLIC-R,0.628874,892
PLIC-L,0.636022,883
RLIC-R,0.515643,770
RLIC-L,0.511329,726
ACR-R,0.441227,1560
ACR-L,0.424272,1569
SCR-R,0.442549,1416
SCR-L,0.427519,1362
PCR-R,0.427077,760
PCR-L,0.402815,677
PTR-R,0.504647,1009
PTR-L,0.510817,978
SS-R,0.460926,646
SS-L,0.469064,648
EC-R,0.405892,1451
EC-L,0.389642,1445
CGC-R,0.449261,287
CGC-L,0.493504,307
CGH-R,0.433778,261
CGH-L,0.379944,263
FX/ST-R,0.474896,310
FX/ST-L,0.480593,396
SLF-R,0.471619,1770
SLF-L,0.456374,1733
SFO-R,0.41407,98
SFO-L,0.384879,95
IFO-R,0.500944,48
IFO-L,0.479188,40
UNC-R,0.497881,74
UNC-L,0.449418,51
